i,position,all_changes,any_changes,jaccards,sequence,model,dataset,determinism,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mutation_params,generation_strategy,timestamp
242,49,48.097,96.923,18.013,"841,1076,739,755,559,360,969,1191,105,789,874,516,185,353,867,5,791,232,1997,279,316,436,1031,1691,364,339,269,4,1655,2810,2062,920,220,455,940,295,249,1151,552,501,51,333,44,351,446,39,219,930,259,642",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
244,49,56.41,97.976,16.677,"1235,890,524,888,3215,2412,2145,2900,305,1690,2862,1954,1884,1689,1422,545,24,123,1825,1833,394,395,398,195,611,1609,917,1832,2036,1860,909,1926,2546,1347,1472,161,698,350,1070,976,327,1059,522,2452,1570,2215,1452,388,2119,1015",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
245,49,48.583,48.583,36.536,"794,1857,648,1223,1444,605,1217,732,622,1365,1798,1231,2742,1325,1103,1715,1441,775,2591,1854,2552,1835,1190,1361,2609,688,1204,132,3080,2870,1605,1181,1618,330,1824,2867,2339,1773,576,2553,1873,1693,1338,1859,423,1416,1364,1092,1170,2055",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
247,49,63.968,63.968,26.229,"957,1936,545,1263,1229,468,211,343,1065,172,63,995,742,215,869,538,1040,118,201,790,1112,789,926,747,1121,821,2134,1683,1486,353,279,516,950,2029,316,373,734,502,346,309,940,871,899,1388,924,351,135,1098,494,446",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
248,49,7.584,55.331,58.249,"23,1062,178,16,649,1298,1238,260,435,247,670,337,245,52,946,1232,2233,1108,1538,317,325,168,129,421,662,1,106,322,3301,717,2012,24,798,487,6,175,117,1312,83,272,724,265,65,2568,548,558,471,1527,1793,1774",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
249,49,58.165,58.165,23.263,"1349,23,200,211,445,382,10,796,64,97,432,218,85,40,1298,195,571,2595,88,327,1159,697,1674,951,1467,285,604,205,1530,117,14,184,98,142,6,187,480,2498,96,539,429,21,742,146,903,274,202,141,120,566",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
251,49,42.078,91.714,22.635,"39,264,52,183,86,1468,767,3175,5,476,1580,148,1259,139,807,902,906,471,466,1286,1586,992,825,1291,562,760,127,967,1216,2394,2128,1438,1992,2437,2803,33,683,711,1356,1127,213,1132,1319,1729,791,932,886,525,2636,1228",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
252,49,4.318,76.086,57.205,"2892,757,393,1034,2270,2613,2418,351,366,1630,1248,383,1309,1106,410,1311,532,2490,1012,222,117,1345,2092,372,184,1496,516,142,1648,317,362,1277,248,553,358,733,1265,378,1404,16,343,380,866,1356,1211,816,1514,1651,2342,1500",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
253,49,56.518,99.136,15.188,"775,1342,658,1178,1618,676,591,602,747,523,1854,1824,2870,1327,1798,2871,1336,1827,2680,1441,788,889,1222,1967,1138,811,132,688,1204,576,1605,700,773,812,2885,1852,1364,1601,1643,1092,2883,1220,2137,1602,2419,1603,1400,129,1232,520",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
254,49,31.201,67.692,40.824,"1385,582,165,123,538,511,383,145,1861,190,535,325,121,1614,542,268,245,172,291,152,40,28,60,90,815,243,1529,488,118,1039,83,407,128,168,125,45,187,662,97,14,1062,1116,548,65,218,715,214,1406,23,58",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
257,49,26.1,87.746,37.176,"176,581,1004,312,742,779,3041,1115,677,793,1645,693,387,696,1394,2430,400,1019,219,1667,1407,735,773,1082,736,181,324,39,124,877,574,1055,75,1835,1342,1182,336,1427,1416,353,114,1402,794,2277,1084,669,1068,86,306,531",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
259,49,37.517,85.371,25.421,"910,1019,912,325,1189,3094,920,837,1844,74,1727,889,978,241,1146,133,151,63,79,91,323,152,127,904,1688,524,145,850,922,1712,376,3192,203,513,2098,746,2334,131,1010,1969,1140,1940,1210,1086,955,1422,1397,2083,1718,1720",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
260,49,25.155,97.787,28.052,"81,1189,1688,3072,457,1784,519,490,1310,475,1877,364,1766,1435,1303,483,1975,2735,1973,1275,1849,1223,1321,2380,1329,819,450,3163,1012,1556,1235,1320,568,1195,815,420,397,829,2326,746,1437,809,585,871,1339,1686,1596,1436,881,69",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
261,49,10.985,52.874,42.905,"218,612,999,744,27,98,295,1242,377,991,963,965,1009,2520,539,133,63,995,114,647,1002,1001,190,749,215,161,61,644,897,1015,677,848,1005,1006,703,1017,975,759,1019,990,587,616,529,1475,768,592,433,1004,252,323",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
262,49,21.565,21.565,39.225,"744,506,39,440,41,983,327,445,78,1595,1174,1311,213,16,27,375,2468,1886,1112,1536,214,1711,761,604,274,2232,1071,1467,116,125,715,1229,862,148,123,172,65,449,1169,754,1317,161,1671,776,1866,1073,1074,10,48,257",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
263,49,30.499,30.499,40.547,"121,496,297,387,857,844,149,94,1227,892,1391,245,168,3040,105,51,175,662,160,796,260,2012,598,507,322,68,816,863,789,2955,734,318,52,24,41,195,281,135,337,817,2544,831,1888,542,4,2092,2019,923,465,327",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
264,49,32.47,32.47,59.272,"524,888,118,332,1561,433,2223,1982,417,984,1156,568,2089,149,305,519,2460,397,691,2422,1197,485,1757,1432,502,1366,1076,320,789,567,1340,2124,1136,912,2538,837,1787,1927,658,1409,747,1382,933,131,66,1225,1383,2616,1422,421",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
265,49,17.112,73.684,48.815,"198,93,45,128,719,536,85,840,187,6,51,291,172,14,771,185,117,135,274,184,366,257,24,129,10,110,105,1099,49,663,717,1467,1587,530,421,1406,245,86,144,471,501,281,768,809,61,718,742,570,1029,2271",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
268,49,25.587,99.001,17.799,"415,216,723,1155,1023,1069,1536,2103,671,1796,579,1249,1554,630,322,727,1093,1254,237,965,1475,609,613,633,1005,690,1711,38,2371,1695,656,589,421,339,662,160,561,610,18,694,47,9,10,1081,1845,1127,213,2203,999,1070",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
269,49,2.375,2.375,73.67,"1099,762,141,1062,474,2148,492,144,1587,1996,1080,372,27,862,511,1311,2103,202,140,42,166,124,1638,19,764,412,58,329,169,325,476,1107,313,1575,284,766,1650,1234,1265,1108,897,467,514,285,258,143,2000,2421,43,2432",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
270,49,47.881,47.881,42.665,"245,68,227,317,58,137,1019,344,922,2566,475,442,910,648,1693,59,542,904,893,1847,2062,698,257,445,1349,1201,2109,2634,455,2221,2856,200,2224,1855,520,1255,388,1888,900,854,294,1158,318,306,199,264,870,1169,25,1958",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
271,49,1.997,76.545,61.08,"306,2427,1452,1652,1523,2255,1512,767,171,175,724,135,1872,1493,649,1466,1504,2689,110,1626,418,454,429,548,83,3,822,229,54,1607,1099,1107,685,1646,304,231,2914,646,680,415,166,239,710,2772,383,1634,116,1779,730,1576",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
272,49,32.173,87.018,29.971,"2785,1193,850,74,328,910,92,108,1089,937,1086,1382,1671,67,99,73,2655,1103,1841,1185,1210,1251,2649,2574,1343,1067,1890,1656,542,2723,264,2751,95,892,2332,59,75,442,94,158,459,376,494,2077,1675,648,1076,66,86,350",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
273,49,41.188,95.331,21.418,"124,98,382,185,436,901,1668,661,1928,539,166,466,152,5,2760,79,114,537,1257,222,391,515,909,617,359,75,383,479,434,329,522,367,577,2568,1595,118,158,594,177,668,2238,1529,732,130,35,17,121,2267,1329,406",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
274,49,80.054,80.054,19.64,"1268,92,1085,168,245,487,536,1467,68,195,30,52,1731,1116,39,207,382,14,1159,337,8,1234,97,3083,316,2004,16,632,757,983,243,540,117,1345,615,184,142,42,359,76,1302,336,86,362,610,1211,1129,40,284,1537",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
275,49,5.29,39.082,66.713,"435,630,1462,895,129,1261,1241,1466,560,892,1922,906,1583,1562,293,59,1739,1514,324,1453,563,1455,46,1648,1449,1779,709,418,767,175,1099,421,1550,117,727,1107,429,135,649,548,172,370,646,383,413,568,154,1652,426,166",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
276,49,13.225,13.225,62.656,"2544,2511,1441,2649,2797,2252,3093,1364,529,857,1249,1152,576,955,133,350,433,2170,118,2250,1704,66,375,1132,1459,1150,432,1159,1116,1117,1122,1127,965,1536,1129,595,1131,1119,264,1006,1296,302,1711,869,912,279,870,1977,791,1426",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
277,49,13.927,61.7,56.14,"1017,592,607,1063,1768,1554,2,623,637,2224,672,428,3078,574,456,1317,1827,2188,1026,2204,1773,1092,1109,1299,21,372,1645,1314,90,833,275,1305,1384,199,1304,1853,687,1177,716,779,2087,2373,567,402,704,201,1427,1133,1076,2202",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
278,49,11.066,99.109,38.32,"1139,2552,925,1133,2966,1181,1444,622,1618,1835,1342,688,1153,1103,576,182,1067,1425,1827,2329,1165,1852,823,2849,1318,3015,2544,1696,2608,3313,1867,2202,1364,1602,1608,2138,2795,2872,3424,928,3017,2271,2137,2879,2419,1603,1604,8,105,135",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
280,49,10.31,10.31,76.417,"762,483,1866,1782,475,444,2476,3327,1328,2673,1961,2268,493,1307,1767,2809,1381,2231,2843,1958,316,362,261,351,355,34,317,336,291,248,177,1290,380,557,1151,232,1660,1362,875,2146,538,761,2154,1802,535,1758,891,658,353,872",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
281,49,14.764,61.43,53.725,"1667,165,20,1516,1271,615,626,793,177,90,21,677,425,730,424,397,1237,732,274,172,1314,1182,1346,640,696,1327,1686,580,628,27,559,721,809,740,1254,630,1284,1584,2016,1535,259,1583,322,1640,2265,1466,2084,1451,1592,429",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
282,49,39.001,81.511,28.671,"421,154,1071,719,1467,123,1229,840,862,93,105,51,1530,316,382,171,563,185,207,85,200,2004,41,142,14,117,244,757,336,538,1510,1159,322,1263,247,1848,727,7,455,211,2571,1524,35,610,128,137,44,213,1093,58",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
284,49,29.69,68.88,46.641,"2482,3191,2387,1066,896,1292,1955,714,420,1213,922,1774,1688,874,668,901,2333,652,189,679,1387,1133,1784,829,1925,1339,858,826,398,856,2605,1739,585,223,2328,1136,1205,1940,1088,1022,1337,2884,59,790,1366,3270,115,997,1145,2785",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
285,49,61.565,61.565,22.392,"927,82,558,266,440,1025,1539,594,905,2081,2631,1661,1892,485,342,2482,306,1435,1982,1907,1348,489,1916,488,1189,417,1341,818,234,465,364,907,922,311,1839,483,754,2675,1303,210,18,748,93,1436,744,124,815,816,1855,179",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
286,49,93.522,93.522,4.539,"741,94,991,61,95,278,69,1019,145,714,1272,849,189,433,858,841,118,892,2293,768,679,127,513,1537,326,1132,869,1150,432,1159,2661,1116,193,601,1112,1131,214,274,1119,886,1115,1180,791,716,279,1900,734,373,185,455",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
287,49,50.661,98.165,15.615,"422,343,1257,440,21,492,177,2154,281,577,1929,2570,640,594,285,815,464,552,1312,516,826,535,475,2640,582,1100,1244,286,1631,853,892,1409,730,901,2085,2198,2471,2622,1369,859,482,344,2892,1402,75,114,397,628,525,222",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
288,49,16.788,79.001,50.796,"308,51,333,1692,306,916,135,244,881,39,219,930,1522,1328,1048,2,382,36,390,324,332,41,824,1427,2201,17,1595,50,2182,567,34,1061,391,853,31,2539,1055,3097,1412,1327,574,2164,1835,1942,1036,33,35,26,2202,1026",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
289,49,23.536,86.775,34.347,"1452,105,2309,185,961,1541,307,744,1081,697,171,276,259,1731,195,200,1765,1466,207,1024,1518,1298,2450,951,798,543,757,129,56,1467,218,117,987,3115,646,959,643,1546,1154,205,1943,2612,1538,1232,136,1093,1254,2489,44,2348",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
290,49,6.667,71.552,55.091,"1745,1296,2354,800,1472,2421,215,2102,1390,1150,715,1287,991,1563,2425,3215,1663,1286,1291,3230,2627,273,1487,977,498,44,971,1984,111,156,980,434,114,1108,93,1471,1669,496,59,75,149,1174,147,1283,137,435,771,670,2416,830",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
291,49,16.788,52.443,57.73,"114,879,1873,1713,994,523,545,69,168,51,247,93,49,68,11,245,52,507,41,195,816,281,337,437,505,1971,39,117,133,375,284,485,1630,923,40,98,273,318,906,313,391,510,652,542,1146,811,350,2848,407,214",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
292,49,68.718,93.279,12.525,"9,609,613,633,2351,415,47,15,1828,427,332,3202,10,581,799,651,18,31,574,402,569,1427,1773,2273,2991,1826,2062,1092,908,2137,500,1163,1943,2444,2268,1201,2634,937,238,2019,854,542,294,407,1679,207,88,1345,718,2095",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
293,49,6.262,6.262,67.127,"98,1167,41,257,52,1110,187,39,43,995,85,510,1406,217,1116,610,281,1332,172,1042,210,99,556,877,652,105,278,353,867,5,789,791,937,129,682,245,168,175,1546,663,798,150,144,53,377,439,169,40,323,340",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
294,49,15.25,82.888,34.57,"558,505,438,172,117,537,273,284,1527,265,522,1791,383,471,125,435,218,1110,49,241,214,157,756,2095,712,588,206,79,95,433,190,434,1669,105,670,10,662,168,48,27,245,384,613,643,20,718,425,623,515,809",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
295,49,40.648,94.17,22.654,"3030,2337,3462,3208,653,999,9,1449,10,1081,1498,2032,563,1453,695,1455,603,1845,2105,1492,2131,2863,1507,586,1616,207,1,757,624,97,2042,1467,554,566,799,141,1540,2432,772,581,625,427,1091,389,681,2895,2870,1854,1800,1997",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
299,49,32.011,72.2,36.212,"1146,189,844,149,1440,529,118,763,1842,41,1034,105,538,816,506,190,539,252,289,120,1015,631,565,1059,87,620,360,161,776,61,556,1260,588,703,768,128,65,219,187,644,645,647,559,676,1082,201,1605,1418,1243,1134",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
300,49,18.866,48.34,52.32,"1,93,2373,24,257,125,185,1887,1435,98,157,45,128,133,435,670,49,6,137,140,65,1108,211,105,416,39,69,1769,245,68,247,44,830,52,273,260,1274,923,1652,1062,548,387,942,420,326,2386,910,1329,912,203",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
301,49,67.854,67.854,24.903,"604,1120,969,755,1725,1096,1251,2020,1718,1979,77,421,2149,1848,1074,793,1697,57,172,1348,2043,1224,2982,462,1866,148,1548,2296,1467,840,435,877,909,516,353,5,789,874,1559,364,899,333,1151,882,801,1388,2009,351,446,881",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
302,49,32.146,32.146,43.538,"184,1271,1309,85,16,1043,1311,257,506,42,790,105,2328,1159,560,2135,1457,3250,334,1,548,2246,2136,185,638,1739,4,267,3059,373,37,430,2401,1538,178,3364,28,946,329,767,1518,393,14,832,2583,375,406,285,518,445",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
303,49,46.397,46.397,27.902,"717,276,618,1299,184,1261,2912,1159,463,1452,1455,1676,2484,715,217,2012,961,274,339,663,56,1587,2270,53,117,2399,20,1081,1110,471,727,163,694,42,1233,152,1121,1406,1674,327,1257,243,1453,391,216,69,542,761,324,789",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
305,49,55.439,55.439,38.255,"471,532,238,59,69,243,900,534,832,1158,407,260,41,245,1518,612,200,506,1254,125,980,1106,546,185,14,1116,384,210,1196,183,1252,169,1345,436,58,42,240,274,316,351,1328,1463,250,2107,220,2026,1201,359,57,638",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
306,49,25.02,86.208,26.375,"375,244,1763,384,291,807,372,172,535,1264,1040,1008,146,348,178,682,421,665,93,265,2057,1651,200,1579,739,212,539,323,1326,105,2073,553,152,1116,94,98,791,1544,20,515,156,697,161,1006,620,1102,763,667,896,893",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
308,49,16.221,72.551,38.059,"517,45,435,670,157,125,6,128,729,210,152,200,211,98,1252,58,690,217,218,1069,720,715,187,434,214,278,206,63,587,1070,588,149,1114,79,91,1072,712,241,387,80,190,151,976,121,65,94,61,529,118,647",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
309,49,15.034,43.995,60.75,"506,130,397,691,317,291,222,117,177,538,1195,528,730,568,1201,1658,734,190,1257,383,535,522,315,739,129,1339,245,52,168,809,49,45,125,6,128,150,217,670,281,211,98,140,218,187,79,152,712,58,243,260",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
310,49,38.974,38.974,46.921,"1127,965,1120,214,274,1119,1459,1811,1180,264,1815,1818,869,741,193,1209,1156,189,1812,1680,1910,791,269,1001,2237,2377,1218,203,636,2393,1729,1814,2159,761,132,2387,1192,1813,911,967,1133,1809,1816,1819,878,1260,1506,1820,1919,1932",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
311,49,48.637,48.637,44.128,"622,599,1967,1379,1715,1380,1857,2680,938,747,132,1942,1771,1327,2469,1618,1138,1181,811,908,1823,1354,688,700,1873,1831,1175,773,876,812,1378,1416,1126,1693,2872,2263,1371,1859,1364,1601,1220,2894,2739,2467,1092,1602,2419,1400,1170,1604",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
312,49,69.42,86.127,19.636,"2324,2369,802,811,49,4,500,2092,545,406,268,886,341,1855,523,69,1713,2059,1856,105,353,789,874,791,877,933,5,937,232,70,328,920,455,890,502,878,936,1169,938,932,288,1163,501,924,264,898,899,51,306,808",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
313,49,23.158,89.96,28.602,"75,1019,1020,94,976,114,1372,387,896,1671,714,490,105,207,632,830,393,316,601,1062,548,20,184,176,2848,770,382,117,798,16,702,129,322,1452,52,1309,247,1299,98,530,425,643,742,27,559,1311,462,744,1659,515",BERT4Rec,ml-1m,True,2048,25,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Mon, 09 Dec 2024 08:50:59"
