i,position,count,k,jaccards,ndcg,counterfactuals,sequence,model,dataset,determinism,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mutation_params,generation_strategy,jaccard_threshold,timestamp
29,48,200,10,40.571,84.652,0.0,"479,42,432,449,124,104,382,1467,237,165,624,160,384,1401,438,5,712,110,764,1530,1116,906,421,157,176,793,150,16,613,696,175,448,714,674,1309,1042,1500,1257,375,80,1344,151,1476,439,492,141,177,815,46,91",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
30,48,200,10,48.692,89.292,0.0,"530,68,135,27,1587,1863,492,601,274,702,281,98,316,20,133,589,326,511,651,42,41,1825,462,1576,905,2542,2293,1318,1866,1564,209,195,124,1833,394,846,395,1508,398,739,917,1840,1231,1383,2433,245,227,60,897,836",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
31,48,200,10,41.787,86.864,0.0,"879,257,168,24,52,29,150,506,49,165,281,1323,1034,918,1527,60,28,1277,2344,54,888,482,594,485,466,519,3204,2100,1059,417,502,1748,1381,364,754,133,79,152,241,433,265,196,161,896,70,1879,1203,147,459,92",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
32,48,200,10,38.898,87.986,0.0,"376,1020,904,1011,776,1174,1372,433,591,620,1019,197,1275,2293,754,910,1483,556,763,851,880,73,648,1193,223,74,2855,1724,1482,1671,92,198,850,565,1716,131,66,1210,2320,1089,1841,576,2425,1276,1064,2428,1030,1103,1076,1844",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
34,48,200,10,36.284,76.642,0.0,"742,574,657,853,1905,908,2863,10,2757,46,41,9,208,799,1051,683,589,597,609,1047,35,47,34,633,1061,2146,391,390,1052,38,50,11,17,1729,33,1368,332,1063,1770,1077,1328,389,567,1800,1091,1402,3458,90,649,106",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
35,48,200,10,70.347,97.221,0.0,"1729,264,1247,189,1209,2557,585,791,1977,716,652,203,1180,279,483,975,1985,967,1260,1895,1142,2260,1426,1926,2896,1218,761,1900,1978,1811,1815,2362,1268,1143,932,1946,1983,2354,2379,2380,1809,1813,1733,2353,2948,1145,1990,2950,1734,1735",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
36,48,200,10,43.664,80.655,0.0,"34,11,536,391,469,30,36,5,244,1178,2184,33,607,515,809,657,188,61,1084,843,721,592,643,679,674,759,27,559,768,1038,623,718,755,208,1001,1021,1028,219,468,1077,769,581,625,1017,583,1048,2284,389,39,672",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
37,48,200,10,46.748,86.471,0.0,"1497,724,1455,1299,222,566,1002,142,1783,586,866,46,176,1211,1311,1493,23,538,16,184,14,77,1186,1309,1424,535,380,146,604,370,1645,392,1802,1305,646,1320,425,636,2300,169,1500,815,1244,1265,829,640,90,1432,344,373",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
38,48,200,10,38.921,73.055,0.0,"1132,202,1625,217,729,1155,1269,100,1040,1728,1547,83,1459,1508,1023,701,1765,723,2331,894,2343,2742,835,2234,1558,2129,764,554,2110,2432,205,141,432,1616,624,1574,1941,1263,1622,2117,1569,710,1570,3023,3044,1722,1331,312,603,214",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
39,48,200,10,46.851,91.31,0.0,"1635,1663,1319,1419,1264,410,1307,2117,1569,1020,2969,455,1527,135,318,264,1653,711,3382,285,532,500,475,344,1408,1640,1233,530,211,98,86,1273,2858,152,323,229,494,466,118,985,1708,126,1420,305,825,1350,1844,67,2140,1193",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
40,48,200,10,38.36,68.492,0.0,"1834,827,1243,1076,1715,3178,2620,181,1773,1416,2828,2188,1085,889,1373,1412,1725,1835,1851,1967,1594,2204,1327,1064,2511,2843,936,913,1092,1859,1045,3041,1852,2202,2658,1698,2279,2055,2542,1397,2185,1826,2790,3042,821,2350,69,542,520,1847",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
42,48,200,10,49.224,94.113,0.0,"485,2754,455,1308,909,2156,476,245,52,505,318,338,478,1097,979,2752,40,903,1872,492,60,220,3386,1107,284,1060,358,1892,902,329,519,449,2246,146,440,239,229,888,372,922,465,489,1401,2755,1600,483,1906,1369,675,1767",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
43,48,200,10,46.544,90.453,0.0,"1011,464,98,97,45,125,715,210,741,218,965,1009,744,539,377,63,65,759,78,990,991,114,644,1002,663,848,295,1005,1006,703,156,734,190,215,981,1019,323,529,971,212,27,677,278,1001,857,620,161,776,738,433",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
44,48,200,10,39.336,71.239,0.0,"1482,1356,194,538,139,36,2140,201,775,1209,2321,1177,1131,1412,2744,1440,390,389,1305,523,772,1020,732,773,1203,1157,2260,533,2671,827,1335,1322,920,2741,1089,735,837,1307,2476,745,930,1605,1371,2910,2062,1698,1228,1083,1037,640",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
45,48,200,10,35.436,69.558,0.0,"589,536,581,35,30,38,18,34,208,1048,633,1094,610,31,17,672,2,33,1317,26,390,1077,1238,52,1040,140,720,453,179,1936,867,789,950,942,532,2238,533,520,69,318,388,542,861,407,1692,808,2140,238,873,430",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
46,48,200,10,44.647,88.131,0.0,"152,200,93,98,75,729,65,147,49,111,58,273,215,140,151,216,209,210,218,1114,1023,434,644,712,721,1252,63,1155,756,588,387,703,156,196,1042,80,278,741,193,386,59,980,161,587,118,121,1001,768,529,971",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
48,48,200,10,40.87,81.779,0.0,"232,780,4,920,502,455,274,1151,360,1136,333,351,135,244,39,51,306,1098,916,219,446,892,369,867,1003,95,133,327,94,49,2238,268,1713,318,1195,955,179,199,375,444,1330,696,1043,215,172,1107,584,593,740,691",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
49,48,200,10,33.944,69.019,0.0,"97,592,156,734,190,210,759,677,604,2557,41,10,51,1524,35,382,532,34,1047,610,31,1026,742,567,390,402,607,71,649,207,2270,598,709,89,548,230,3,425,643,569,908,1167,719,281,2564,300,2065,1846,492,585",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
50,48,200,10,43.434,63.047,0.0,"3542,2495,1234,205,141,1114,604,1642,1352,1426,699,772,1574,762,869,1570,587,595,427,1152,725,627,2099,760,1837,2318,1115,985,637,312,2870,3133,1704,1838,369,353,789,874,185,867,791,232,516,436,355,2154,220,306,1388,351",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
51,48,200,10,47.892,63.702,0.0,"829,815,165,1849,1596,640,535,522,332,568,794,675,222,351,372,687,397,41,617,146,21,574,569,1942,1696,657,1084,1905,751,1317,607,515,853,809,61,2278,2204,877,257,1769,70,318,916,2660,39,2216,1169,1856,898,1147",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
52,48,200,10,53.194,95.189,0.0,"283,377,165,1107,80,461,1916,1669,500,257,61,39,185,382,76,316,117,5,135,34,770,291,146,177,538,1424,1630,804,130,372,568,1658,190,1432,1182,557,401,90,815,746,1200,658,1749,1175,901,794,1857,513,628,1412",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
53,48,200,10,27.962,63.639,0.0,"1227,777,844,127,203,536,56,382,185,117,506,516,142,221,317,351,528,1034,380,2605,244,891,291,222,286,366,130,383,1012,2471,397,1201,1366,1088,1460,1392,567,730,1852,700,946,247,245,52,68,24,435,670,1132,85",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
54,48,200,10,60.688,97.344,0.0,"2070,3023,2863,436,116,82,1652,554,282,107,50,1574,1550,418,416,2156,54,1529,705,1848,338,1034,124,1892,2126,83,143,720,110,89,767,135,171,724,1466,3,415,1646,117,412,154,1195,2890,548,1493,1636,383,438,425,397",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
57,48,200,10,36.734,85.58,0.0,"1114,192,768,149,147,631,1372,1275,1059,273,844,904,213,855,763,168,260,22,24,796,245,52,23,211,1552,1241,598,40,1846,97,382,1587,218,10,42,391,432,719,85,281,135,51,41,129,824,247,539,117,199,392",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
58,48,200,10,44.367,77.756,0.0,"2239,1314,422,2699,159,1898,1039,1500,587,114,725,1394,1941,1174,728,1302,426,424,199,1265,169,768,336,1114,196,1573,462,1745,490,2073,1094,580,1694,1432,457,1517,387,1460,568,865,2711,1019,713,668,901,779,676,557,201,837",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
60,48,200,10,42.446,70.482,0.0,"83,1504,202,995,1314,1640,2067,1551,1262,538,114,626,2520,843,146,63,1042,1050,11,772,19,383,1508,1023,485,1765,770,78,196,632,18,9,171,616,927,589,849,159,946,2558,1117,604,609,1028,1252,76,1532,2510,535,1560",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
61,48,200,10,33.628,78.154,0.0,"851,976,1199,203,556,2746,1704,1372,87,127,1152,1059,1079,2213,131,92,1103,1841,576,1037,1251,1086,2781,2295,1656,530,1634,694,100,2039,1173,965,2336,254,1233,429,152,1235,1107,1896,57,721,213,610,633,33,31,222,2944,164",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
62,48,200,10,43.546,61.74,0.0,"129,1065,206,292,435,4,179,2092,957,886,3574,1,1395,1530,1467,771,560,1543,670,487,176,2110,45,1263,1518,171,1540,601,634,835,566,757,2234,97,764,141,432,862,214,554,678,1574,632,1503,595,2571,1384,1642,2127,3233",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
63,48,200,10,36.094,74.063,0.0,"1017,581,583,1349,389,1914,393,128,178,744,2706,125,23,1345,1099,27,6,1567,53,1116,1080,184,82,2000,1309,218,193,798,2001,1043,42,715,1677,1211,1051,795,1006,756,187,1050,16,148,1247,14,274,1052,143,278,1302,1265",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
64,48,200,10,40.924,87.461,0.0,"702,2256,305,129,260,218,39,133,530,98,715,429,152,211,337,306,434,121,923,63,524,105,168,24,8,97,175,125,1467,40,27,613,10,51,505,53,34,597,208,382,391,5,718,45,128,85,124,588,206,6",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
65,48,200,10,55.324,94.25,0.0,"146,2160,2770,705,266,1305,90,2081,224,1669,37,793,822,488,1908,413,1394,909,2100,1360,1774,448,888,2755,462,2471,115,1935,2422,1059,2300,509,2744,1310,2555,482,1982,3191,1897,451,159,2246,1975,1435,446,1749,1861,2688,660,754",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
67,48,200,10,47.173,73.23,0.0,"220,932,801,881,39,673,892,1106,445,749,15,500,510,1713,729,114,464,407,417,2,1334,1336,51,520,237,854,920,549,2280,285,4,1694,100,832,434,2092,1673,1999,518,196,174,2816,2806,60,118,203,1268,1316,147,1651",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
68,48,200,10,41.153,86.937,0.0,"2150,60,124,1575,549,13,144,169,53,571,1050,107,514,143,705,2081,2426,75,521,1164,35,1869,15,720,45,128,65,152,211,151,196,79,91,647,712,588,146,28,734,1273,201,219,187,206,844,648,676,181,1082,1083",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
70,48,200,10,43.599,79.595,0.0,"8,600,1513,1195,566,46,702,1002,425,1530,1043,586,1642,757,1298,734,171,117,1211,200,712,184,624,617,1795,710,1692,169,1309,5,1501,689,1252,199,723,756,538,604,815,626,386,1349,638,1311,520,406,1713,69,1847,820",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
73,48,200,10,40.584,77.303,0.0,"946,284,480,54,507,157,418,454,2162,313,1756,1097,413,436,528,1107,492,384,551,331,1982,1630,511,438,325,124,142,366,503,60,476,146,76,378,485,509,260,796,1489,129,68,259,135,168,281,39,337,195,543,372",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
75,48,200,10,33.864,74.995,0.0,"899,453,2265,1483,524,872,149,815,874,912,1059,145,557,984,1993,289,606,1959,2478,1203,739,397,1136,1146,791,2476,585,648,1399,1260,794,823,2675,2505,1191,911,2780,2655,684,1841,1204,700,328,108,182,565,3091,2136,878,1064",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
76,48,200,10,42.584,85.972,0.0,"405,1418,1476,1155,63,121,858,288,168,72,276,93,1099,1311,98,157,83,836,557,658,510,99,200,524,789,791,20,568,125,376,1110,837,108,152,147,349,114,1656,2265,266,642,120,647,897,135,746,691,58,2292,2262",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
78,48,200,10,41.113,83.942,0.0,"2265,39,96,460,1233,323,890,877,1119,918,329,2557,466,524,255,1904,1665,3446,874,1214,2422,898,899,86,2556,3075,1993,1690,1666,502,504,1156,937,2136,2260,3140,1350,1422,3263,1671,2169,1965,2125,1967,1860,2098,932,878,1086,1856",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
79,48,200,10,41.811,65.719,0.0,"1314,129,1836,670,24,421,10,662,2757,106,49,1856,353,874,909,2029,928,791,2216,70,509,1709,364,920,436,269,502,220,274,878,890,932,936,339,1003,1125,2009,333,360,1367,2160,881,308,899,916,219,2140,446,892,1752",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
80,48,200,10,51.472,86.957,0.0,"382,177,135,316,21,244,1682,222,538,1865,34,383,816,1595,346,1178,1257,741,372,165,891,535,789,1315,1312,826,1290,190,458,1310,358,658,919,180,1758,1182,1658,1136,687,568,557,640,515,1154,746,1776,910,90,1089,907",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
81,48,200,10,46.624,90.004,0.0,"1073,129,24,133,98,384,93,256,327,172,124,60,28,111,899,885,612,216,719,1476,840,598,200,112,1508,209,1040,202,547,114,49,217,210,214,588,206,79,1169,168,624,394,1004,715,1560,759,771,634,207,566,2495",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
82,48,200,10,42.79,85.367,0.0,"135,378,528,643,177,731,344,538,20,516,336,1201,370,693,2417,619,397,275,1186,515,90,794,357,872,640,568,557,1304,1231,1849,84,593,399,684,628,1222,914,735,194,1827,700,1141,1338,1084,1859,2271,325,591,185,1692",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
83,48,200,10,42.862,82.765,0.0,"207,1071,1789,289,1486,958,373,499,2054,2479,61,1380,2052,2321,139,1177,522,777,1443,127,1586,1658,265,1527,1958,181,492,1914,2671,306,285,455,2803,267,516,319,2487,789,1668,379,358,128,1150,347,1688,1107,332,1343,3411,2584",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
84,48,200,10,30.893,74.363,0.0,"449,1593,1686,1774,614,473,1527,585,499,522,2640,2201,1407,1380,1798,1408,472,1225,396,2287,2379,1969,2418,22,1183,168,68,337,129,2505,157,52,1524,150,260,277,245,2040,185,247,940,339,1536,122,2039,795,2634,1077,1645,1965",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
85,48,200,10,51.584,91.267,0.0,"2965,1559,1560,1259,3044,460,1235,2140,524,2073,884,1832,2746,2493,1173,2145,305,1969,963,3,117,727,1762,415,265,370,614,239,420,797,320,1340,2075,1390,1922,961,1212,1535,293,1584,650,1632,12,1532,2228,2221,618,15,2328,403",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
86,48,200,10,29.74,71.989,0.0,"123,289,1146,1244,265,906,152,320,1015,252,880,323,1059,87,844,896,494,1191,536,22,5,955,2185,190,365,114,600,156,539,161,684,529,120,1076,897,1001,125,1242,65,739,744,97,45,1017,663,1941,612,44,1,1458",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
87,48,200,10,39.235,86.756,0.0,"1002,1005,703,600,749,1009,897,738,98,1059,433,190,991,587,1620,195,611,200,1609,917,624,394,2234,395,1508,216,209,2554,124,1833,2878,846,1004,739,1231,84,1359,197,930,1081,128,137,1476,670,1469,1093,720,729,152,211",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
88,48,200,10,31.974,72.222,0.0,"125,6,391,22,1075,20,435,612,45,260,1299,207,52,89,540,23,530,274,211,11,421,663,694,176,601,187,172,14,44,644,774,1332,95,983,715,1110,647,670,516,317,65,85,152,214,53,219,1116,284,5,114",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
89,48,200,10,39.304,76.688,0.0,"693,1186,425,291,1257,376,1107,1999,592,1577,842,1567,1042,587,309,1669,848,2156,278,1358,507,566,8,487,105,2578,965,1585,663,125,1676,530,100,1457,337,471,432,193,1395,1106,500,2019,2092,886,1188,174,69,518,238,1713",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
90,48,200,10,43.625,85.194,0.0,"1731,1518,154,2084,2047,561,1127,1848,100,1538,2036,237,178,724,3047,532,3238,832,51,416,44,1106,2107,2241,356,316,135,3487,1683,983,346,2016,2626,299,1309,2131,8,253,611,798,200,1620,2106,3064,1060,3250,1062,500,20,1445",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
91,48,200,10,70.023,98.152,0.0,"1210,755,2014,1723,2520,1064,2974,2663,1718,1159,1116,601,1127,214,2713,1459,432,2369,1531,1118,1122,1536,595,274,3431,302,1123,1129,1509,1577,869,1150,1117,2371,1128,2372,2468,1112,1886,636,1501,2977,2237,2557,585,1977,716,1154,2840,2969",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
92,48,200,10,43.629,84.887,0.0,"1872,1025,558,172,397,76,231,815,438,1312,1165,691,1682,640,1195,2772,488,1313,1631,553,577,584,1443,797,1681,1334,401,675,1687,482,1385,1750,1686,472,130,730,1756,383,21,506,891,177,90,165,572,503,475,1738,901,1071",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
95,48,200,10,41.253,69.555,0.0,"1472,70,35,571,1645,199,426,503,696,397,865,1398,1692,1453,8,1499,1284,1502,30,536,2270,10,45,51,1449,129,771,612,24,382,41,168,48,338,799,1099,27,171,3067,135,2067,2127,85,1625,1309,178,15,3,184,60",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
96,48,200,10,38.392,87.769,0.0,"48,112,1728,663,1964,1731,202,571,97,1,1395,2031,1722,140,1467,862,1272,1922,3041,3178,1704,3261,339,1284,586,1254,630,560,1583,1613,259,59,293,2072,2084,1452,1556,1451,1159,1553,210,1560,129,1146,460,896,127,126,3189,87",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
99,48,200,10,42.979,76.142,0.0,"771,1233,1591,548,2152,6,2031,200,2039,124,86,384,185,23,152,799,393,1298,45,1529,360,610,485,280,951,382,604,1504,291,43,172,210,1110,1040,1543,568,42,435,1024,762,137,63,79,671,412,1311,40,4,430,500",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
100,48,200,10,45.102,91.162,0.0,"658,1253,358,353,2223,2256,355,333,2157,1076,882,513,2892,2575,2350,2576,662,1457,1195,718,747,365,85,742,151,578,193,1102,1227,776,181,637,574,1301,879,260,1254,322,715,1232,152,663,959,1451,2265,429,1993,1119,958,2550",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,0.7,"Sat, 14 Dec 2024 11:37:41"
